,absolute_change,percentage_change,CO2 kg emissions diff,geometry,origid_id_YKR_1,"CO2 emissions, gramms_1",origid_id_YKR_2,"CO2 emissions, gramms_2"
0,-2364.690092,-0.255393362,-2.364690092,"POLYGON ((24.692654585682305 60.110888184383754, 24.692497600681516 60.11313114081252, 24.696991408260274 60.11320942559442, 24.697148088195853 60.1109664621081, 24.692654585682305 60.110888184383754))",714048,9259.011571,714048,6894.321479
1,-1159.581497,-0.091655865,-1.159581497,"POLYGON ((24.697148088195853 60.1109664621081, 24.696991408260274 60.11320942559442, 24.70148524067499 60.11328755791183, 24.70164161553982 60.11104458738168, 24.697148088195853 60.1109664621081))",714049,12651.47073,714049,11491.88923
2,-2668.453897,-0.281876936,-2.668453897,"POLYGON ((24.70148524067499 60.11328755791183, 24.701328841022427 60.11553052743066, 24.70582300334938 60.11560851431306, 24.70597909787744 60.113365537763144, 24.70148524067499 60.11328755791183))",716750,9466.733712,716750,6798.279816
3,-2898.935254,-0.433934214,-2.898935254,"POLYGON ((24.692340590796547 60.11537409622805, 24.692183556021845 60.11761705063034, 24.696677973875698 60.11769534953018, 24.696834703488737 60.11545238806844, 24.692340590796547 60.11537409622805))",719448,6680.586964,719448,3781.65171
4,-1277.765347,-0.276570477,-1.277765347,"POLYGON ((24.71930563860747 60.11584156006449, 24.7191504348857 60.11808455661785, 24.72364500109811 60.118161940541384, 24.72379989962511 60.11591893701085, 24.71930563860747 60.11584156006449))",719454,4620.03523,719454,3342.269884
5,-2146.133691,-0.249160908,-2.146133691,"POLYGON ((24.72379989962511 60.11591893701085, 24.72364500109811 60.118161940541384, 24.72813959186806 60.11823917196302, 24.728294185194816 60.11599616146905, 24.72379989962511 60.11591893701085))",719455,8613.444665,719455,6467.310974
6,-2602.825073,-0.678730909,-2.602825073,"POLYGON ((24.674206134041725 60.11730233014579, 24.674047853587776 60.1195452551559, 24.678542476758647 60.119624171121735, 24.67870045202498 60.11738123899632, 24.674206134041725 60.11730233014579))",722144,3834.840935,722144,1232.015862
7,-2297.711942,-0.165875116,-2.297711942,"POLYGON ((24.67870045202498 60.11738123899632, 24.678542476758647 60.119624171121735, 24.68303712497512 60.119702934588695, 24.683194795048244 60.11745999536171, 24.67870045202498 60.11738123899632))",722145,13852.05928,722145,11554.34734
8,-3735.90451,-0.420980193,-3.73590451,"POLYGON ((24.683194795048244 60.11745999536171, 24.68303712497512 60.119702934588695, 24.687531798188935 60.119781545555135, 24.68768916306328 60.11753859924028, 24.683194795048244 60.11745999536171))",722146,8874.299954,722146,5138.395444
9,-4042.115151,-0.305848126,-4.042115151,"POLYGON ((24.692183556021845 60.11761705063034, 24.69202649635185 60.11986000401932, 24.696521219415615 60.1199383099796, 24.696677973875698 60.11769534953018, 24.692183556021845 60.11761705063034))",722148,13216.08606,722148,9173.970909
