,destination_id_YKR_1,On-site workers_1,index_YKR_1,_merge_1,destination_id_YKR_2,On-site workers_2,index_YKR_2,_merge_2,absolute_change,percentage_change,geometry
0,714049.0,0.67,42333132,both,714049.0,1.0,42333132,both,0.32999999999999996,0.49253731343283574,"POLYGON ((24.697148088195853 60.1109664621081, 24.696991408260274 60.11320942559442, 24.70148524067499 60.11328755791183, 24.70164161553982 60.11104458738168, 24.697148088195853 60.1109664621081))"
1,714050.0,0.52,42660278,both,714050.0,1.0,42660278,both,0.48,0.923076923076923,"POLYGON ((24.70164161553982 60.11104458738168, 24.70148524067499 60.11328755791183, 24.70597909787744 60.113365537763144, 24.70613516766599 60.11112256020286, 24.70164161553982 60.11104458738168))"
2,719445.0,1.69,42362167,both,719445.0,2.0,42362167,both,0.31000000000000005,0.18343195266272194,"POLYGON ((24.6788584022513 60.115138305854735, 24.67870045202498 60.11738123899632, 24.683194795048244 60.11745999536171, 24.683352440129603 60.115217055119516, 24.6788584022513 60.115138305854735))"
3,719448.0,2.39,42335250,both,719448.0,3.0,42335250,both,0.6099999999999999,0.2552301255230125,"POLYGON ((24.692340590796547 60.11537409622805, 24.692183556021845 60.11761705063034, 24.696677973875698 60.11769534953018, 24.696834703488737 60.11545238806844, 24.692340590796547 60.11537409622805))"
4,719455.0,0.54,42333202,both,719455.0,1.0,42333202,both,0.45999999999999996,0.8518518518518517,"POLYGON ((24.72379989962511 60.11591893701085, 24.72364500109811 60.118161940541384, 24.72813959186806 60.11823917196302, 24.728294185194816 60.11599616146905, 24.72379989962511 60.11591893701085))"
5,722144.0,0.57,42335196,both,722144.0,1.0,42335196,both,0.43000000000000005,0.7543859649122808,"POLYGON ((24.674206134041725 60.11730233014579, 24.674047853587776 60.1195452551559, 24.678542476758647 60.119624171121735, 24.67870045202498 60.11738123899632, 24.674206134041725 60.11730233014579))"
6,722145.0,0.62,42335914,both,722145.0,1.0,42335914,both,0.38,0.6129032258064516,"POLYGON ((24.67870045202498 60.11738123899632, 24.678542476758647 60.119624171121735, 24.68303712497512 60.119702934588695, 24.683194795048244 60.11745999536171, 24.67870045202498 60.11738123899632))"
7,722156.0,2.35,42451276,both,722156.0,3.0,42451276,both,0.6499999999999999,0.276595744680851,"POLYGON ((24.72813959186806 60.11823917196302, 24.727984974032022 60.12048218145133, 24.732479894565245 60.120559267320125, 24.732634207147314 60.11831625088113, 24.72813959186806 60.11823917196302))"
8,724843.0,0.97,42335123,both,724843.0,1.0,42335123,both,0.030000000000000027,0.03092783505154642,"POLYGON ((24.66955325551075 60.119466186692925, 24.669394644732687 60.121709103555915, 24.673889548039977 60.12178817914887, 24.674047853587776 60.1195452551559, 24.66955325551075 60.119466186692925))"
9,724844.0,2.3,42366084,both,724844.0,3.0,42366084,both,0.7000000000000002,0.3043478260869566,"POLYGON ((24.674047853587776 60.1195452551559, 24.673889548039977 60.12178817914887, 24.678384476446716 60.12186710223097, 24.678542476758647 60.119624171121735, 24.674047853587776 60.1195452551559))"
10,724852.0,0.6,42336833,both,724852.0,1.0,42336833,both,0.4,0.6666666666666667,"POLYGON ((24.710005537529415 60.1201723128202, 24.709849674024472 60.12241529335912, 24.71434480148934 60.12249299629351, 24.714500359713995 60.12025000874806, 24.710005537529415 60.1201723128202))"
11,724853.0,1.83,42336834,both,724853.0,3.0,42336834,both,1.17,0.6393442622950819,"POLYGON ((24.714500359713995 60.12025000874806, 24.71434480148934 60.12249299629351, 24.71883995361927 60.12257054670188, 24.718995206558134 60.12032755216364, 24.714500359713995 60.12025000874806))"
12,724855.0,0.32,42335390,both,724855.0,1.0,42335390,both,0.6799999999999999,2.1249999999999996,"POLYGON ((24.723490078013562 60.120404943065296, 24.723335130365985 60.12264794458259, 24.72783033168122 60.12272518993397, 24.727984974032022 60.12048218145133, 24.723490078013562 60.120404943065296))"
13,727543.0,1.85,42335384,both,727543.0,2.0,42335384,both,0.1499999999999999,0.08108108108108103,"POLYGON ((24.669394644732687 60.121709103555915, 24.669236008806926 60.123952019400804, 24.673731217392735 60.12403110212471, 24.673889548039977 60.12178817914887, 24.669394644732687 60.121709103555915))"
14,730244.0,0.52,42336501,both,730244.0,1.0,42336501,both,0.48,0.923076923076923,"POLYGON ((24.673731217392735 60.12403110212471, 24.673572861640444 60.126274024083315, 24.67806840066369 60.12635296140083, 24.678226451083592 60.12411003232402, 24.673731217392735 60.12403110212471))"
15,730250.0,1.61,42337873,both,730250.0,2.0,42337873,both,0.3899999999999999,0.24223602484472043,"POLYGON ((24.700702994424166 60.12450239539244, 24.70054647074992 60.1267453598544, 24.70504215942316 60.12682338190651, 24.705198377731616 60.12458041040872, 24.700702994424166 60.12450239539244))"
16,730252.0,0.95,42336824,both,730252.0,1.0,42336824,both,0.050000000000000044,0.052631578947368474,"POLYGON ((24.70969378580619 60.124658272888595, 24.709537872869063 60.12690125140853, 24.714033611039337 60.126978968358785, 24.71418921859962 60.12473598283045, 24.70969378580619 60.124658272888595))"
17,732942.0,0.66,42337687,both,732942.0,1.0,42337687,both,0.33999999999999997,0.515151515151515,"POLYGON ((24.66458185897418 60.126115691835054, 24.664422867366714 60.128358598496995, 24.668918661489826 60.12843784803606, 24.669077347727843 60.126194934227506, 24.66458185897418 60.126115691835054))"
18,732943.0,1.3,42336325,both,732943.0,2.0,42336325,both,0.7,0.5384615384615384,"POLYGON ((24.669077347727843 60.126194934227506, 24.668918661489826 60.12843784803606, 24.67341448077749 60.128516945024764, 24.673572861640444 60.126274024083315, 24.669077347727843 60.126194934227506))"
19,732944.0,1.5499999999999998,42338125,both,732944.0,2.0,42338125,both,0.4500000000000002,0.2903225806451614,"POLYGON ((24.673572861640444 60.126274024083315, 24.67341448077749 60.128516945024764, 24.677910325181415 60.12859588946142, 24.67806840066369 60.12635296140083, 24.673572861640444 60.126274024083315))"
